,Cluster,Chromosome,Start,End,Strand,Description,R30,R45,R85,S30,S45,S85,L30,L45,L85,F30,F45,10DPA,20DPA,IMG,MG,Br,Br3,Br7,Br10,Br15
Solyc00g005000.3,1.0,SL3.0ch00,16879,17940,+,Eukaryotic aspartyl protease family protein (AHRD V3.3 *** AT3G20015.1)                      ,2.1134941734743045,2.415272753956427,2.591738980399753,-0.41956691629245707,-0.42055134772087244,-0.4191739687803191,-0.42055134772087244,-0.4199493503829426,-0.4178549531979818,-0.4199187413905342,-0.42013377028478305,-0.42055134772087244,-0.42055134772087244,-0.41879259645751,-0.41797044410101536,-0.41550156749312606,-0.417452693325886,-0.4184704317164953,-0.4176562166386512,-0.4158588668852913
Solyc00g005080.2,1.0,SL3.0ch00,791488,791775,-,LOW QUALITY:Protein Ycf2 (AHRD V3.3 *-* YCF2_SOLLC)                      ,1.1871398713635937,1.4324036484045775,2.6715702545451725,-1.0541168956596187,-0.8490970615632482,-0.5298656908206105,0.0043764568727077255,-0.24560823785987798,0.24573875774902748,0.4816733424686485,-0.44511447116716535,-1.0541168956596187,-0.8449872033372032,-0.8635568902277302,-1.0541168956596187,-0.15584183804496873,-0.4456466830237755,-0.6509016491631772,0.919713267784156,1.2503548129987307
Solyc00g006800.3,4.0,SL3.0ch00,5780177,5780686,+,transaldolase                      ,1.8047573203361993,2.28205433495888,1.0312717257882447,0.0067413501530346675,0.10153548805134248,-0.6729063563836946,-1.7781871815906083,-1.7875867557391234,-1.4589304483032692,-0.21369328840050883,-0.5570382081139224,0.15832964878586872,0.9237393914468571,0.04371700615755413,-0.3043635509581185,-0.1711432180767221,-0.030803581855535472,0.18614286111468445,0.347687785410616,0.08867567721822596
Solyc00g006810.3,5.0,SL3.0ch00,5791042,5791456,+,FKBP-like peptidyl-prolyl cis-trans isomerase family protein (AHRD V3.3 *** AT5G13410.1)             ,-1.60164754749673,-1.5174414446635036,-1.4856441254336152,-0.33425789080146356,-0.2058222561743593,0.19056881029480896,2.0019144232556583,1.8057736205097723,1.0814332579721977,-0.018814084124207483,-0.8808478959535186,-0.9090146217950392,-0.3238184019512451,-0.2966045730587455,-0.42522622976472685,0.689328845767024,0.7975093606010024,-0.08495537506579534,0.9176100535671194,0.5999560743153761
Solyc00g006820.3,5.0,SL3.0ch00,5824665,5825755,+,Major facilitator superfamily protein (AHRD V3.3 *** A0A097PNX1_SOLLC)               ,-1.019522306491919,-1.096105946796343,-1.1252056435043756,0.4267716174080517,1.383222673783384,-0.020795082447839015,0.8520363536316242,1.8671124934355998,0.25763202784401434,2.102620777975684,0.597078909994377,-0.2311711823068107,0.9452826808535503,-0.15406172558915981,-0.13341913593352125,-0.9389895898628913,-1.046565924970586,-0.8222574700820601,-0.9197755370106095,-0.9238879899301732
Solyc00g007270.3,4.0,SL3.0ch02,32491249,32491723,+,Eukaryotic translation initiation factor 6 (AHRD V3.3 *** M1C4H3_SOLTU)              ,0.01256291036268635,0.5046797989462108,-0.49536718894226855,0.10406832037204468,-0.18833773762196307,-0.8492050262593792,-1.8257893470019066,-2.1628783771402373,-0.8220120916636524,-0.056988864825918785,-0.3409114765311421,0.19180076968585158,0.7148047172034749,-0.1415378402964097,0.21414502473581912,1.2246155178455511,-0.6986170079130399,1.1886020789096288,1.857127236918722,1.5692385832159235
Solyc00g009120.3,0.0,SL3.0ch00,7886330,7886534,+,Short-chain dehydrogenase/reductase family protein (AHRD V3.3 *** D7LXC9_ARALL)               ,0.4466157210105281,0.883282988918864,0.5673555820812992,-0.7235535322638884,1.4810629807060582,0.7079940775046175,1.071992733848875,1.9462528351102877,0.4890899113302278,-0.9499429569237782,0.6609548609493195,-0.46520027417877374,-0.9697330081838229,0.001951839446571696,0.7599616993187747,-1.1225339278349364,-1.4584815913257172,-1.42725137261746,-0.975386425482072,-0.9244321414149651
Solyc00g009141.1,4.0,SL3.0ch00,7896698,7897016,-,Microsomal signal peptidase 25 kDa subunit (AHRD V3.3 *-* G7KBX4_MEDTR)             ,1.1187130433727903,-0.0740141019603437,-0.14669022729610767,-0.16570946892069965,-0.294004875238822,-1.048977025588241,-2.012685931925576,-1.7231902608484093,-1.3208236165315108,1.9238419639706783,-0.7676620626316827,0.8013369767176839,0.29052011737621125,-0.29073840203348933,-0.30743753223897463,1.0328714946572755,0.6856676547975262,0.5183983931597195,1.1690094192770455,0.6115744418849155
Solyc00g011880.3,0.0,SL3.0ch00,9387008,9387367,+,Protein AIG2-like protein (AHRD V3.3 *** A0A0B0P003_GOSAR)                ,0.04017501112977203,-0.23063612146762702,-1.221714097348615,0.5957775374600366,0.6916402003634458,0.0022326700931150274,1.2215961284653742,1.3913303628363483,0.3650604633530612,1.2987264852055531,0.1137101231041124,-1.0727944233143087,1.231940670737141,0.6903317897030652,-0.3678170777508884,0.6171855967377311,-0.37833378337657764,-1.2612530998690799,-1.7707979754356267,-1.9563604606260232
Solyc00g013155.1,3.0,SL3.0ch00,9739249,9739388,-,Cytochrome c oxidase subunit 2 (AHRD V3.3 *-* F8K8N5_BRANA)              ,1.275772290016187,3.202297864074646,0.8134228004372176,-0.49608539253659323,-0.5426477889943817,0.030025785967545876,-0.4639452072136065,-0.23084708008143945,0.3396433767534873,1.3043743200464035,0.42308898767679815,0.238344604692233,-0.7683960746149716,-0.9424570171950448,-0.9453578551495369,-0.7363760998754979,-0.5620286210755042,-0.9132507772207463,-0.5518567679502029,-0.4737213477569974
